Symbol Name, Symbol Address, Function Size, Matched
calcVelocityMoveToDirection__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_f,80010B60,70,false
calcVelocityMoveToDirection__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_ffff,80010BD0,70,false
calcVelocityMoveToTarget__2MRFPQ29JGeometry8TVec3_f_PC9LiveActorRCQ29JGeometry8TVec3_f_f,80010C40,70,false
sub_80010CB0,80010CB0,60,false
sub_80010D10,80010D10,44,false
addVelocityMoveToDirection__2MRFP9LiveActorRCQ29JGeometry8TVec3_f_f,80010D60,44,false
sub_80010DB0,80010DB0,78,false
sub_80010E30,80010E30,D0,false
addVelocityMoveToTargetHorizon__2MRFP9LiveActorRCQ29JGeometry8TVec3_f_f,80010F00,6C,false
addVelocityMoveToTargetHorizon__2MRFP9LiveActorRCQ29JGeometry8TVec3_f_ffff,80010F70,8C,false
addVelocityMoveToTarget__2MRFP9LiveActorRCQ29JGeometry8TVec3_f_f,80011000,6C,false
